district_id,image_link
nv4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nv4.PNG
ny1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny1.PNG
ny2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny2.PNG
ny3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny3.PNG
ny4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny4.PNG
ny5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny5.PNG
ny6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny6.PNG
ny7,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny7.PNG
ny8,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny8.PNG
ny9,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny9.PNG
ny10,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny10.PNG
ny11,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny11.PNG
ny12,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny12.PNG
ny13,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny13.PNG
ny14,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny14.PNG
ny15,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny15.PNG
ny16,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny16.PNG
ny17,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny17.PNG
ny18,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny18.PNG
ny19,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny19.PNG
ny20,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny20.PNG
ny21,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny21.PNG
ny22,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny22.PNG
ny23,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny23.PNG
ny24,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny24.PNG
ny25,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny25.PNG
ny26,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny26.PNG
ny27,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ny27.PNG
oh1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh1.PNG
oh2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh2.PNG
oh3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh3.PNG
oh4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh4.PNG
oh5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh5.PNG
oh6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh6.PNG
oh7,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh7.PNG
oh8,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh8.PNG
oh9,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh9.PNG
oh10,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh10.PNG
oh11,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh11.PNG
oh12,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh12.PNG
oh13,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh13.PNG
oh14,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh14.PNG
oh15,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh15.PNG
oh16,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/oh16.PNG
ok1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ok1.PNG
ok2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ok2.PNG
ok3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ok3.PNG
ok4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ok4.PNG
ok5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ok5.PNG
or1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/or1.PNG
or2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/or2.PNG
or3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/or3.PNG
or4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/or4.PNG
or5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/or5.PNG
pa1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa1.PNG
pa2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa2.PNG
pa3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa3.PNG
pa4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa4.PNG
pa5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa5.PNG
pa6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa6.PNG
pa7,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa7.PNG
pa8,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa8.PNG
pa9,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa9.PNG
pa10,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa10.PNG
pa11,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa11.PNG
pa12,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/pa12.PNG
